name,name2,party,vote,state,state2,party2,vote2,cross_party,storm,sharevote
Angus King,Cindy Hyde-Smith,Democrat,1,ME,MS,Republican,1,0,0,1
Angus King,Claire McCaskill,Democrat,1,ME,MO,Democrat,1,1,0,1
Angus King,Cory Booker,Democrat,1,ME,NJ,Democrat,1,1,0,1
Angus King,Cory Gardner,Democrat,1,ME,CO,Republican,1,0,0,1
Angus King,Dan Sullivan,Democrat,1,ME,AK,Republican,1,0,0,1
Angus King,David Perdue,Democrat,1,ME,GA,Republican,1,0,0,1
Angus King,Dean Heller,Democrat,1,ME,NV,Republican,1,0,0,1
Angus King,Deb Fischer,Democrat,1,ME,NE,Republican,1,0,0,1
Angus King,Debbie Stabenow,Democrat,1,ME,MI,Democrat,1,1,0,1
Angus King,Dianne Feinstein,Democrat,1,ME,CA,Democrat,1,1,0,1
Angus King,Doug Jones,Democrat,1,ME,AL,Democrat,1,1,0,1
Angus King,Edward “Ed” Markey,Democrat,1,ME,MA,Democrat,1,1,0,1
Angus King,Elizabeth Warren,Democrat,1,ME,MA,Democrat,1,1,0,1
Angus King,Gary Peters,Democrat,1,ME,MI,Democrat,1,1,0,1
Angus King,Heidi Heitkamp,Democrat,1,ME,ND,Democrat,1,1,0,1
Angus King,James “Jim” Inhofe,Democrat,1,ME,OK,Republican,1,0,0,1
Angus King,James Lankford,Democrat,1,ME,OK,Republican,1,0,0,1
Angus King,James Risch,Democrat,1,ME,ID,Republican,1,0,0,1
Angus King,Jeanne Shaheen,Democrat,1,ME,NH,Democrat,1,1,0,1
Angus King,Jeff Flake,Democrat,1,ME,AZ,Republican,1,0,0,1
Angus King,Jeff Merkley,Democrat,1,ME,OR,Democrat,1,1,0,1
Angus King,Jerry Moran,Democrat,1,ME,KS,Republican,1,0,0,1
Angus King,Joe Donnelly,Democrat,1,ME,IN,Democrat,1,1,0,1
Angus King,Joe Manchin,Democrat,1,ME,WV,Democrat,1,1,0,1
Angus King,John “Johnny” Isakson,Democrat,1,ME,GA,Republican,1,0,0,1
Angus King,John Barrasso,Democrat,1,ME,WY,Republican,1,0,0,1
Angus King,John Boozman,Democrat,1,ME,AR,Republican,1,0,0,1
Angus King,John Cornyn,Democrat,1,ME,TX,Republican,1,0,0,1
Angus King,John F. “Jack” Reed,Democrat,1,ME,RI,Democrat,1,1,0,1
Angus King,John Hoeven,Democrat,1,ME,ND,Republican,1,0,0,1
Angus King,John Neely Kennedy,Democrat,1,ME,LA,Republican,1,0,0,1
Angus King,John Thune,Democrat,1,ME,SD,Republican,1,0,0,1
Angus King,Jon Kyl,Democrat,1,ME,AZ,Republican,1,0,0,1
Angus King,Jon Tester,Democrat,1,ME,MT,Democrat,1,1,0,1
Angus King,Joni Ernst,Democrat,1,ME,IA,Republican,1,0,0,1
Angus King,Kamala Harris,Democrat,1,ME,CA,Democrat,1,1,0,1
Angus King,Kirsten Gillibrand,Democrat,1,ME,NY,Democrat,1,1,0,1
Angus King,Lamar Alexander,Democrat,1,ME,TN,Republican,1,0,0,1
Angus King,Lindsey Graham,Democrat,1,ME,SC,Republican,1,0,0,1
Angus King,Lisa Murkowski,Democrat,1,ME,AK,Republican,1,0,0,1
Angus King,Marco Rubio,Democrat,1,ME,FL,Republican,1,0,0,1
Angus King,Margaret “Maggie” Hassan,Democrat,1,ME,NH,Democrat,1,1,0,1
Angus King,Maria Cantwell,Democrat,1,ME,WA,Democrat,1,1,0,1
Angus King,Mark Warner,Democrat,1,ME,VA,Democrat,1,1,0,1
Angus King,Martin Heinrich,Democrat,1,ME,NM,Democrat,1,1,0,1
Angus King,Mazie Hirono,Democrat,1,ME,HI,Democrat,1,1,0,1
