name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Barbara Boxer,Charles “Chuck” Grassley,CA,1,Democrat,IA,1,Republican,0,0,1
Barbara Boxer,Charles “Chuck” Schumer,CA,1,Democrat,NY,1,Democrat,1,0,1
Barbara Boxer,Christopher Coons,CA,1,Democrat,DE,1,Democrat,1,0,1
Barbara Boxer,Christopher Murphy,CA,1,Democrat,CT,1,Democrat,1,0,1
Barbara Boxer,Claire McCaskill,CA,1,Democrat,MO,1,Democrat,1,0,1
Barbara Boxer,Cory Booker,CA,1,Democrat,NJ,1,Democrat,1,0,1
Barbara Boxer,Daniel Coats,CA,1,Democrat,IN,1,Republican,0,0,1
Barbara Boxer,David Vitter,CA,1,Democrat,LA,1,Republican,0,0,1
Barbara Boxer,Dean Heller,CA,1,Democrat,NV,1,Republican,0,0,1
Barbara Boxer,Deb Fischer,CA,1,Democrat,NE,1,Republican,0,0,1
Barbara Boxer,Debbie Stabenow,CA,1,Democrat,MI,1,Democrat,1,0,1
Barbara Boxer,Dianne Feinstein,CA,1,Democrat,CA,1,Democrat,1,0,1
Barbara Boxer,Edward “Ed” Markey,CA,1,Democrat,MA,1,Democrat,1,0,1
Barbara Boxer,Elizabeth Warren,CA,1,Democrat,MA,1,Democrat,1,0,1
Barbara Boxer,Harry Reid,CA,1,Democrat,NV,1,Democrat,1,0,1
Barbara Boxer,Heidi Heitkamp,CA,1,Democrat,ND,1,Democrat,1,0,1
Barbara Boxer,James “Jim” Inhofe,CA,1,Democrat,OK,1,Republican,0,0,1
Barbara Boxer,Jeanne Shaheen,CA,1,Democrat,NH,1,Democrat,1,0,1
Barbara Boxer,Jeff Merkley,CA,1,Democrat,OR,1,Democrat,1,0,1
Barbara Boxer,Jerry Moran,CA,1,Democrat,KS,1,Republican,0,0,1
Barbara Boxer,Joe Donnelly,CA,1,Democrat,IN,1,Democrat,1,0,1
Barbara Boxer,Joe Manchin,CA,1,Democrat,WV,1,Democrat,1,0,1
Barbara Boxer,John “Jay” Rockefeller,CA,1,Democrat,WV,1,Democrat,1,0,1
Barbara Boxer,John “Johnny” Isakson,CA,1,Democrat,GA,1,Republican,0,0,1
Barbara Boxer,John Barrasso,CA,1,Democrat,WY,1,Republican,0,0,1
Barbara Boxer,John Boozman,CA,1,Democrat,AR,1,Republican,0,0,1
Barbara Boxer,John F. “Jack” Reed,CA,1,Democrat,RI,1,Democrat,1,0,1
Barbara Boxer,John Hoeven,CA,1,Democrat,ND,1,Republican,0,0,1
Barbara Boxer,John Thune,CA,1,Democrat,SD,1,Republican,0,0,1
Barbara Boxer,John Walsh,CA,1,Democrat,MT,1,Democrat,1,0,1
Barbara Boxer,Jon Tester,CA,1,Democrat,MT,1,Democrat,1,0,1
Barbara Boxer,Kay Hagan,CA,1,Democrat,NC,1,Democrat,1,0,1
Barbara Boxer,Kelly Ayotte,CA,1,Democrat,NH,1,Republican,0,0,1
Barbara Boxer,Kirsten Gillibrand,CA,1,Democrat,NY,1,Democrat,1,0,1
Barbara Boxer,Lindsey Graham,CA,1,Democrat,SC,1,Republican,0,0,1
Barbara Boxer,Lisa Murkowski,CA,1,Democrat,AK,1,Republican,0,0,1
Barbara Boxer,Maria Cantwell,CA,1,Democrat,WA,1,Democrat,1,0,1
Barbara Boxer,Mark Begich,CA,1,Democrat,AK,1,Democrat,1,0,1
Barbara Boxer,Mark Kirk,CA,1,Democrat,IL,1,Republican,0,0,1
Barbara Boxer,Mark Pryor,CA,1,Democrat,AR,1,Democrat,1,0,1
Barbara Boxer,Mark Udall,CA,1,Democrat,CO,1,Democrat,1,0,1
Barbara Boxer,Mark Warner,CA,1,Democrat,VA,1,Democrat,1,0,1
