name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Amy Klobuchar,Jeff Merkley,MN,1,Democrat,OR,1,Democrat,1,0,1
Amy Klobuchar,Jerry Moran,MN,1,Democrat,KS,0,Republican,0,0,0
Amy Klobuchar,Joe Donnelly,MN,1,Democrat,IN,1,Democrat,1,0,1
Amy Klobuchar,Joe Manchin,MN,1,Democrat,WV,1,Democrat,1,0,1
Amy Klobuchar,John “Johnny” Isakson,MN,1,Democrat,GA,1,Republican,0,0,1
Amy Klobuchar,John Barrasso,MN,1,Democrat,WY,1,Republican,0,0,1
Amy Klobuchar,John Boozman,MN,1,Democrat,AR,1,Republican,0,0,1
Amy Klobuchar,John Cornyn,MN,1,Democrat,TX,1,Republican,0,0,1
Amy Klobuchar,John F. “Jack” Reed,MN,1,Democrat,RI,1,Democrat,1,0,1
Amy Klobuchar,John Hoeven,MN,1,Democrat,ND,1,Republican,0,0,1
Amy Klobuchar,John McCain,MN,1,Democrat,AZ,0,Republican,0,0,0
Amy Klobuchar,John Neely Kennedy,MN,1,Democrat,LA,1,Republican,0,0,1
Amy Klobuchar,John Thune,MN,1,Democrat,SD,1,Republican,0,0,1
Amy Klobuchar,Jon Tester,MN,1,Democrat,MT,1,Democrat,1,0,1
Amy Klobuchar,Joni Ernst,MN,1,Democrat,IA,0,Republican,0,0,0
Amy Klobuchar,Kamala Harris,MN,1,Democrat,CA,1,Democrat,1,0,1
Amy Klobuchar,Kirsten Gillibrand,MN,1,Democrat,NY,1,Democrat,1,0,1
Amy Klobuchar,Lamar Alexander,MN,1,Democrat,TN,1,Republican,0,0,1
Amy Klobuchar,Lindsey Graham,MN,1,Democrat,SC,0,Republican,0,0,0
Amy Klobuchar,Lisa Murkowski,MN,1,Democrat,AK,1,Republican,0,0,1
Amy Klobuchar,Luther Strange,MN,1,Democrat,AL,1,Republican,0,0,1
Amy Klobuchar,Marco Rubio,MN,1,Democrat,FL,,Republican,0,0,
Amy Klobuchar,Margaret “Maggie” Hassan,MN,1,Democrat,NH,1,Democrat,1,0,1
Amy Klobuchar,Maria Cantwell,MN,1,Democrat,WA,1,Democrat,1,0,1
Amy Klobuchar,Mark Warner,MN,1,Democrat,VA,1,Democrat,1,0,1
Amy Klobuchar,Martin Heinrich,MN,1,Democrat,NM,1,Democrat,1,0,1
Amy Klobuchar,Mazie Hirono,MN,1,Democrat,HI,1,Democrat,1,0,1
Amy Klobuchar,Michael “Mike” Crapo,MN,1,Democrat,ID,1,Republican,0,0,1
Amy Klobuchar,Michael Bennet,MN,1,Democrat,CO,1,Democrat,1,0,1
Amy Klobuchar,Michael Enzi,MN,1,Democrat,WY,0,Republican,0,0,0
Amy Klobuchar,Mike Lee,MN,1,Democrat,UT,0,Republican,0,0,0
Amy Klobuchar,Mike Rounds,MN,1,Democrat,SD,1,Republican,0,0,1
Amy Klobuchar,Mitch McConnell,MN,1,Democrat,KY,1,Republican,0,0,1
Amy Klobuchar,Orrin Hatch,MN,1,Democrat,UT,1,Republican,0,0,1
Amy Klobuchar,Pat Roberts,MN,1,Democrat,KS,1,Republican,0,0,1
Amy Klobuchar,Patrick “Pat” Toomey,MN,1,Democrat,PA,0,Republican,0,0,0
Amy Klobuchar,Patrick Leahy,MN,1,Democrat,VT,1,Democrat,1,0,1
Amy Klobuchar,Patty Murray,MN,1,Democrat,WA,1,Democrat,1,0,1
Amy Klobuchar,Rand Paul,MN,1,Democrat,KY,0,Republican,0,0,0
Amy Klobuchar,Richard Blumenthal,MN,1,Democrat,CT,1,Democrat,1,0,1
Amy Klobuchar,Richard Burr,MN,1,Democrat,NC,1,Republican,0,0,1
Amy Klobuchar,Richard Durbin,MN,1,Democrat,IL,1,Democrat,1,0,1
Amy Klobuchar,Richard Shelby,MN,1,Democrat,AL,1,Republican,0,0,1
Amy Klobuchar,Robert “Bob” Casey,MN,1,Democrat,PA,1,Democrat,1,0,1
Amy Klobuchar,Robert “Bob” Menendez,MN,1,Democrat,NJ,,Democrat,1,0,
Amy Klobuchar,Robert “Rob” Portman,MN,1,Democrat,OH,1,Republican,0,0,1
Amy Klobuchar,Roger Wicker,MN,1,Democrat,MS,1,Republican,0,0,1
Amy Klobuchar,Ron Johnson,MN,1,Democrat,WI,0,Republican,0,0,0
Amy Klobuchar,Ron Wyden,MN,1,Democrat,OR,1,Democrat,1,0,1
Amy Klobuchar,Roy Blunt,MN,1,Democrat,MO,1,Republican,0,0,1
Amy Klobuchar,Sheldon Whitehouse,MN,1,Democrat,RI,1,Democrat,1,0,1
Amy Klobuchar,Shelley Moore Capito,MN,1,Democrat,WV,1,Republican,0,0,1
Amy Klobuchar,Sherrod Brown,MN,1,Democrat,OH,1,Democrat,1,0,1
Amy Klobuchar,Steve Daines,MN,1,Democrat,MT,0,Republican,0,0,0
Amy Klobuchar,Susan Collins,MN,1,Democrat,ME,1,Republican,0,0,1
Amy Klobuchar,Tammy Baldwin,MN,1,Democrat,WI,1,Democrat,1,0,1
Amy Klobuchar,Tammy Duckworth,MN,1,Democrat,IL,1,Democrat,1,0,1
Amy Klobuchar,Ted Cruz,MN,1,Democrat,TX,1,Republican,0,0,1
Amy Klobuchar,Thad Cochran,MN,1,Democrat,MS,1,Republican,0,0,1
Amy Klobuchar,Thom Tillis,MN,1,Democrat,NC,1,Republican,0,0,1
Amy Klobuchar,Thomas Carper,MN,1,Democrat,DE,1,Democrat,1,0,1
Amy Klobuchar,Tim Scott,MN,1,Democrat,SC,1,Republican,0,0,1
Amy Klobuchar,Timothy “Tim” Kaine,MN,1,Democrat,VA,1,Democrat,1,0,1
Amy Klobuchar,Todd Young,MN,1,Democrat,IN,1,Republican,0,0,1
Amy Klobuchar,Tom Cotton,MN,1,Democrat,AR,1,Republican,0,0,1
Amy Klobuchar,Tom Udall,MN,1,Democrat,NM,1,Democrat,1,0,1
Angus King,Alan “Al” Franken,ME,1,Independent,MN,1,Democrat,0,0,1
Angus King,Amy Klobuchar,ME,1,Independent,MN,1,Democrat,0,0,1
Angus King,Benjamin “Ben” Sasse,ME,1,Independent,NE,0,Republican,0,0,0
Angus King,Benjamin Cardin,ME,1,Independent,MD,1,Democrat,0,0,1
Angus King,Bernard “Bernie” Sanders,ME,1,Independent,VT,1,Independent,1,0,1
Angus King,Bill Cassidy,ME,1,Independent,LA,1,Republican,0,0,1
Angus King,Bill Nelson,ME,1,Independent,FL,1,Democrat,0,0,1
Angus King,Bob Corker,ME,1,Independent,TN,0,Republican,0,0,0
Angus King,Brian Schatz,ME,1,Independent,HI,1,Democrat,0,0,1
Angus King,Catherine Cortez Masto,ME,1,Independent,NV,1,Democrat,0,0,1
Angus King,Charles “Chuck” Grassley,ME,1,Independent,IA,0,Republican,0,0,0
Angus King,Charles “Chuck” Schumer,ME,1,Independent,NY,1,Democrat,0,0,1
Angus King,Chris Van Hollen,ME,1,Independent,MD,1,Democrat,0,0,1
Angus King,Christopher Coons,ME,1,Independent,DE,1,Democrat,0,0,1
Angus King,Christopher Murphy,ME,1,Independent,CT,1,Democrat,0,0,1
